#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
intrinsic apoptotic signaling pathway in response to DNA damage,Gene Ontology,GO:0008630,1,103,0.353177177,0.527507011
response to ketone,Gene Ontology,GO:1901654,1,103,0.353177177,0.527507011
response to retinoic acid,Gene Ontology,GO:0032526,1,104,0.355881305,0.529863209
cell recognition,Gene Ontology,GO:0008037,1,104,0.355881305,0.529863209
stem cell differentiation,Gene Ontology,GO:0048863,2,298,0.357033593,0.531234737
system process,Gene Ontology,GO:0003008,7,1374,0.357209565,0.531234737
cell leading edge,Gene Ontology,GO:0031252,2,299,0.358531969,0.531749135
positive regulation of behavior,Gene Ontology,GO:0048520,1,105,0.358574129,0.531749135
neurotransmitter secretion,Gene Ontology,GO:0007269,1,105,0.358574129,0.531749135
response to ethanol,Gene Ontology,GO:0045471,1,105,0.358574129,0.531749135
positive regulation of lymphocyte proliferation,Gene Ontology,GO:0050671,1,106,0.361255698,0.534814164
polyol metabolic process,Gene Ontology,GO:0019751,1,106,0.361255698,0.534814164
synaptic vesicle,Gene Ontology,GO:0008021,1,107,0.363926058,0.536940085
cytokine biosynthetic process,Gene Ontology,GO:0042089,1,107,0.363926058,0.536940085
RNA polymerase II regulatory region sequence-specific DNA binding,Gene Ontology,GO:0000977,1,107,0.363926058,0.536940085
positive regulation of mononuclear cell proliferation,Gene Ontology,GO:0032946,1,107,0.363926058,0.536940085
neural precursor cell proliferation,Gene Ontology,GO:0061351,1,107,0.363926058,0.536940085
multicellular organism reproduction,Gene Ontology,GO:0032504,4,727,0.365306067,0.538367495
striated muscle tissue development,Gene Ontology,GO:0014706,2,304,0.366004203,0.539091969
negative regulation of cell differentiation,Gene Ontology,GO:0045596,3,516,0.369228495,0.54169212
spindle pole,Gene Ontology,GO:0000922,1,109,0.369233337,0.54169212
positive regulation of leukocyte differentiation,Gene Ontology,GO:1902107,1,109,0.369233337,0.54169212
"DNA damage response, signal transduction by p53 class mediator",Gene Ontology,GO:0030330,1,109,0.369233337,0.54169212
transmission of nerve impulse,Gene Ontology,GO:0019226,1,109,0.369233337,0.54169212
development of primary female sexual characteristics,Gene Ontology,GO:0046545,1,109,0.369233337,0.54169212
RNA polymerase II transcription factor binding transcription factor activity,Gene Ontology,GO:0001076,1,110,0.37187035,0.5437432
calcium-mediated signaling,Gene Ontology,GO:0019722,1,110,0.37187035,0.5437432
positive regulation of leukocyte proliferation,Gene Ontology,GO:0070665,1,110,0.37187035,0.5437432
cytokine metabolic process,Gene Ontology,GO:0042107,1,110,0.37187035,0.5437432
response to alkaloid,Gene Ontology,GO:0043279,1,111,0.37449634,0.54662415
retina development in camera-type eye,Gene Ontology,GO:0060041,1,111,0.37449634,0.54662415
microtubule cytoskeleton organization,Gene Ontology,GO:0000226,2,311,0.376407612,0.547929597
JAK-STAT cascade,Gene Ontology,GO:0007259,1,112,0.377111353,0.547929597
positive regulation of Ras GTPase activity,Gene Ontology,GO:0032320,1,112,0.377111353,0.547929597
positive regulation of DNA metabolic process,Gene Ontology,GO:0051054,1,112,0.377111353,0.547929597
intracellular steroid hormone receptor signaling pathway,Gene Ontology,GO:0030518,1,112,0.377111353,0.547929597
RNA polymerase II regulatory region DNA binding,Gene Ontology,GO:0001012,1,112,0.377111353,0.547929597
regulation of protein binding,Gene Ontology,GO:0043393,1,112,0.377111353,0.547929597
blood coagulation,Gene Ontology,GO:0007596,3,524,0.378226713,0.548733586
muscle system process,Gene Ontology,GO:0003012,2,313,0.379367044,0.549831671
cellular response to lipopolysaccharide,Gene Ontology,GO:0071222,1,114,0.382308632,0.551606707
odontogenesis,Gene Ontology,GO:0042476,1,114,0.382308632,0.551606707
hormone activity,Gene Ontology,GO:0005179,1,114,0.382308632,0.551606707
response to nutrient levels,Gene Ontology,GO:0031667,2,315,0.38232051,0.551606707
coagulation,Gene Ontology,GO:0050817,3,528,0.382715666,0.551871762
leading edge membrane,Gene Ontology,GO:0031256,1,115,0.38489099,0.553716536
pallium development,Gene Ontology,GO:0021543,1,115,0.38489099,0.553716536
response to organophosphorus,Gene Ontology,GO:0046683,1,115,0.38489099,0.553716536
muscle tissue development,Gene Ontology,GO:0060537,2,317,0.385267904,0.553716536
response to tumor necrosis factor,Gene Ontology,GO:0034612,1,116,0.387462553,0.555036918
SH3 domain binding,Gene Ontology,GO:0017124,1,116,0.387462553,0.555036918
gland morphogenesis,Gene Ontology,GO:0022612,1,116,0.387462553,0.555036918
DNA-dependent DNA replication,Gene Ontology,GO:0006261,1,116,0.387462553,0.555036918
regulation of DNA replication,Gene Ontology,GO:0006275,1,116,0.387462553,0.555036918
embryonic epithelial tube formation,Gene Ontology,GO:0001838,1,116,0.387462553,0.555036918
fatty acid metabolic process,Gene Ontology,GO:0006631,2,319,0.388209121,0.555345545
skin development,Gene Ontology,GO:0043588,2,319,0.388209121,0.555345545
synapse,Gene Ontology,GO:0045202,3,533,0.388316329,0.555345545
epithelial tube formation,Gene Ontology,GO:0072175,1,117,0.390023367,0.557481374
establishment of protein localization,Gene Ontology,GO:0045184,7,1425,0.39148715,0.559034292
regulation of protein metabolic process,Gene Ontology,GO:0051246,8,1652,0.392233474,0.559034292
mesoderm development,Gene Ontology,GO:0007498,1,118,0.392573477,0.559034292
digestive tract development,Gene Ontology,GO:0048565,1,118,0.392573477,0.559034292
negative regulation of leukocyte activation,Gene Ontology,GO:0002695,1,118,0.392573477,0.559034292
regionalization,Gene Ontology,GO:0003002,2,322,0.392609141,0.559034292
cellular response to molecule of bacterial origin,Gene Ontology,GO:0071219,1,119,0.395112927,0.561068955
neuron migration,Gene Ontology,GO:0001764,1,119,0.395112927,0.561068955
positive regulation of protein complex assembly,Gene Ontology,GO:0031334,1,119,0.395112927,0.561068955
adenylate cyclase-modulating G-protein coupled receptor signaling pathway,Gene Ontology,GO:0007188,1,120,0.397641762,0.562950642
regulation of protein stability,Gene Ontology,GO:0031647,1,120,0.397641762,0.562950642
positive regulation of apoptotic signaling pathway,Gene Ontology,GO:2001235,1,120,0.397641762,0.562950642
negative regulation of response to stimulus,Gene Ontology,GO:0048585,5,987,0.399909221,0.564550091
response to interferon-gamma,Gene Ontology,GO:0034341,1,121,0.400160026,0.564550091
embryonic skeletal system development,Gene Ontology,GO:0048706,1,121,0.400160026,0.564550091
receptor metabolic process,Gene Ontology,GO:0043112,1,121,0.400160026,0.564550091
signal transduction in response to DNA damage,Gene Ontology,GO:0042770,1,121,0.400160026,0.564550091
positive regulation of catalytic activity,Gene Ontology,GO:0043085,5,988,0.400725673,0.565042684
acute inflammatory response,Gene Ontology,GO:0002526,1,122,0.402667764,0.567474549
embryonic limb morphogenesis,Gene Ontology,GO:0030326,1,123,0.405165019,0.56915
striated muscle cell development,Gene Ontology,GO:0055002,1,123,0.405165019,0.56915
embryonic appendage morphogenesis,Gene Ontology,GO:0035113,1,123,0.405165019,0.56915
positive regulation of cellular catabolic process,Gene Ontology,GO:0031331,1,123,0.405165019,0.56915
sphingolipid metabolic process,Gene Ontology,GO:0006665,1,123,0.405165019,0.56915
regulation of chromosome organization,Gene Ontology,GO:0033044,1,124,0.407651836,0.572027577
response to glucocorticoid,Gene Ontology,GO:0051384,1,125,0.410128258,0.5748844
cell maturation,Gene Ontology,GO:0048469,1,125,0.410128258,0.5748844
focal adhesion,Gene Ontology,GO:0005925,1,126,0.412594328,0.578030701
regulation of GTPase activity,Gene Ontology,GO:0043087,2,336,0.412946194,0.578213286
regulation of GTP catabolic process,Gene Ontology,GO:0033124,2,337,0.41438595,0.578675605
"protein binding, bridging",Gene Ontology,GO:0030674,1,127,0.415050089,0.578675605
regulation of G1/S transition of mitotic cell cycle,Gene Ontology,GO:2000045,1,127,0.415050089,0.578675605
motor activity,Gene Ontology,GO:0003774,1,127,0.415050089,0.578675605
digestive system development,Gene Ontology,GO:0055123,1,127,0.415050089,0.578675605
dendrite,Gene Ontology,GO:0030425,2,339,0.417260125,0.580844072
regulation of developmental growth,Gene Ontology,GO:0048638,1,128,0.417495586,0.580844072
response to glucose,Gene Ontology,GO:0009749,1,128,0.417495586,0.580844072
negative regulation of cell activation,Gene Ontology,GO:0050866,1,128,0.417495586,0.580844072
apoptotic signaling pathway,Gene Ontology,GO:0097190,3,560,0.418319053,0.581272713
response to extracellular stimulus,Gene Ontology,GO:0009991,2,340,0.418694522,0.581272713
regulation of anatomical structure size,Gene Ontology,GO:0090066,2,340,0.418694522,0.581272713
response to starvation,Gene Ontology,GO:0042594,1,129,0.41993086,0.582369577
response to purine-containing compound,Gene Ontology,GO:0014074,1,130,0.422355954,0.585110956
negative regulation of transcription from RNA polymerase II promoter,Gene Ontology,GO:0000122,3,565,0.423823537,0.586189458
nuclear hormone receptor binding,Gene Ontology,GO:0035257,1,131,0.424770911,0.58689893
fatty acid biosynthetic process,Gene Ontology,GO:0006633,1,132,0.427175774,0.587604769
cellular response to biotic stimulus,Gene Ontology,GO:0071216,1,132,0.427175774,0.587604769
receptor signaling protein activity,Gene Ontology,GO:0005057,1,132,0.427175774,0.587604769
cell-substrate adherens junction,Gene Ontology,GO:0005924,1,132,0.427175774,0.587604769
identical protein binding,Gene Ontology,GO:0042802,5,1021,0.427579474,0.587604769
single-organism behavior,Gene Ontology,GO:0044708,2,347,0.428684156,0.58790897
response to hexose,Gene Ontology,GO:0009746,1,133,0.429570584,0.58790897
muscle cell development,Gene Ontology,GO:0055001,1,133,0.429570584,0.58790897
endocrine system development,Gene Ontology,GO:0035270,1,133,0.429570584,0.58790897
regulation of cellular response to stress,Gene Ontology,GO:0080135,2,349,0.43152161,0.589670892
regulation of mitotic cell cycle,Gene Ontology,GO:0007346,2,350,0.432937503,0.590986864
action potential,Gene Ontology,GO:0001508,1,135,0.434330214,0.591341606
humoral immune response,Gene Ontology,GO:0006959,1,135,0.434330214,0.591341606
single-organism carbohydrate catabolic process,Gene Ontology,GO:0044724,1,135,0.434330214,0.591341606
regulation of muscle contraction,Gene Ontology,GO:0006937,1,135,0.434330214,0.591341606
response to corticosteroid,Gene Ontology,GO:0031960,1,135,0.434330214,0.591341606
receptor activity,Gene Ontology,GO:0004872,7,1491,0.435838007,0.593014702
regulation of JNK cascade,Gene Ontology,GO:0046328,1,136,0.436695118,0.593014702
eye morphogenesis,Gene Ontology,GO:0048592,1,136,0.436695118,0.593014702
regulation of biological quality,Gene Ontology,GO:0065008,13,2887,0.438146398,0.59434156
positive regulation of neurogenesis,Gene Ontology,GO:0050769,1,137,0.439050136,0.59434156
digestion,Gene Ontology,GO:0007586,1,137,0.439050136,0.59434156
regulation of ERK1 and ERK2 cascade,Gene Ontology,GO:0070372,1,137,0.439050136,0.59434156
cytoplasmic vesicle,Gene Ontology,GO:0031410,5,1036,0.439710091,0.594633854
response to cytokine,Gene Ontology,GO:0034097,3,580,0.44022485,0.595021676
regulation of endocytosis,Gene Ontology,GO:0030100,1,138,0.44139531,0.595678263
response to monosaccharide,Gene Ontology,GO:0034284,1,138,0.44139531,0.595678263
neurotransmitter transport,Gene Ontology,GO:0006836,1,139,0.443730681,0.597541665
"binding, bridging",Gene Ontology,GO:0060090,1,139,0.443730681,0.597541665
cell-substrate junction,Gene Ontology,GO:0030055,1,139,0.443730681,0.597541665
signal transduction,Gene Ontology,GO:0007165,20,4538,0.444338055,0.597795012
regulation of cellular component organization,Gene Ontology,GO:0051128,7,1505,0.445197863,0.598643186
response to reactive oxygen species,Gene Ontology,GO:0000302,1,140,0.44605629,0.599488629
transferase complex,Gene Ontology,GO:1990234,2,361,0.448384936,0.601998293
dendrite development,Gene Ontology,GO:0016358,1,142,0.450678385,0.603835002
regulation of G-protein coupled receptor protein signaling pathway,Gene Ontology,GO:0008277,1,142,0.450678385,0.603835002
positive regulation of protein ubiquitination,Gene Ontology,GO:0031398,1,142,0.450678385,0.603835002
cellular response to oxidative stress,Gene Ontology,GO:0034599,1,143,0.452974951,0.604535884
lipid modification,Gene Ontology,GO:0030258,1,143,0.452974951,0.604535884
ATP catabolic process,Gene Ontology,GO:0006200,1,143,0.452974951,0.604535884
protein acetylation,Gene Ontology,GO:0006473,1,143,0.452974951,0.604535884
carbohydrate catabolic process,Gene Ontology,GO:0016052,1,143,0.452974951,0.604535884
vascular process in circulatory system,Gene Ontology,GO:0003018,1,143,0.452974951,0.604535884
protein modification process,Gene Ontology,GO:0036211,12,2684,0.453054478,0.604535884
cellular protein modification process,Gene Ontology,GO:0006464,12,2684,0.453054478,0.604535884
limb morphogenesis,Gene Ontology,GO:0035108,1,144,0.455261918,0.606551101
appendage morphogenesis,Gene Ontology,GO:0035107,1,144,0.455261918,0.606551101
isomerase activity,Gene Ontology,GO:0016853,1,144,0.455261918,0.606551101
endopeptidase activity,Gene Ontology,GO:0004175,2,367,0.456709863,0.608169767
regulation of neurotransmitter levels,Gene Ontology,GO:0001505,1,145,0.457539325,0.608653231
steroid biosynthetic process,Gene Ontology,GO:0006694,1,145,0.457539325,0.608653231
neural tube development,Gene Ontology,GO:0021915,1,146,0.459807212,0.610425648
regulation of protein secretion,Gene Ontology,GO:0050708,1,146,0.459807212,0.610425648
cellular lipid catabolic process,Gene Ontology,GO:0044242,1,146,0.459807212,0.610425648
osteoblast differentiation,Gene Ontology,GO:0001649,1,146,0.459807212,0.610425648
purine ribonucleoside triphosphate catabolic process,Gene Ontology,GO:0009207,3,599,0.460733362,0.61062849
ribonucleoside triphosphate catabolic process,Gene Ontology,GO:0009203,3,599,0.460733362,0.61062849
structural molecule activity,Gene Ontology,GO:0005198,3,600,0.461803855,0.61062849
purine ribonucleoside monophosphate catabolic process,Gene Ontology,GO:0009169,1,147,0.46206562,0.61062849
multicellular organismal signaling,Gene Ontology,GO:0035637,1,147,0.46206562,0.61062849
negative regulation of cytokine production,Gene Ontology,GO:0001818,1,147,0.46206562,0.61062849
ribonucleoside monophosphate catabolic process,Gene Ontology,GO:0009158,1,147,0.46206562,0.61062849
epithelial cell development,Gene Ontology,GO:0002064,1,147,0.46206562,0.61062849
regulation of purine nucleotide catabolic process,Gene Ontology,GO:0033121,2,372,0.463591336,0.612024981
purine nucleoside triphosphate catabolic process,Gene Ontology,GO:0009146,3,602,0.463942053,0.612051045
germ cell development,Gene Ontology,GO:0007281,1,148,0.464314586,0.612051045
purine nucleoside monophosphate catabolic process,Gene Ontology,GO:0009128,1,148,0.464314586,0.612051045
regulation of nucleoside metabolic process,Gene Ontology,GO:0009118,2,373,0.46496144,0.612285247
regulation of nucleotide catabolic process,Gene Ontology,GO:0030811,2,373,0.46496144,0.612285247
nucleoside triphosphate catabolic process,Gene Ontology,GO:0009143,3,605,0.467142307,0.614227416
nucleoside monophosphate catabolic process,Gene Ontology,GO:0009125,1,150,0.468784356,0.615766064
fat cell differentiation,Gene Ontology,GO:0045444,1,150,0.468784356,0.615766064
blood circulation,Gene Ontology,GO:0008015,2,377,0.470421002,0.617130356
cell-type specific apoptotic process,Gene Ontology,GO:0097285,2,377,0.470421002,0.617130356
hormone receptor binding,Gene Ontology,GO:0051427,1,151,0.471005237,0.617130356
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",Gene Ontology,GO:0007187,1,151,0.471005237,0.617130356
purine nucleoside catabolic process,Gene Ontology,GO:0006152,3,610,0.472456952,0.618252729
purine ribonucleoside catabolic process,Gene Ontology,GO:0046130,3,610,0.472456952,0.618252729
circulatory system process,Gene Ontology,GO:0003013,2,379,0.47313818,0.618252729
regulation of extrinsic apoptotic signaling pathway,Gene Ontology,GO:2001236,1,152,0.473216835,0.618252729
response to estrogen,Gene Ontology,GO:0043627,1,153,0.475419189,0.620111985
Notch signaling pathway,Gene Ontology,GO:0007219,1,153,0.475419189,0.620111985
cellular protein localization,Gene Ontology,GO:0034613,5,1082,0.47648677,0.620840229
